sortable_name,id,Disc1,Disc2,Disc3,Disc4,Disc5,Disc6,Disc7,Disc8,Disc9,Disc10,Disc11,Disc12,Disc13,Disc14,Disc15,SeekFind1,SeekFind2,SeekFind3,SeekFind4,SeekFind5,SeekFind6,SeekFind7,SeekFind8,SeekFind9,SeekFind10,SeekFind11,SeekFind12,SeekFind13,SeekFind14,SeekFind15
"Ayer, Agustin",7076,"(50, 13, [(946, 1), (1009, 0), (1035, 0), (91, 0)])","(0, 0, [])","(50, 2, [(1078, 0), (549, 0), (143, 0)])","(50, -48, [(840, 0), (927, 0), (1120, 0), (118, 0), (147, 0), (115, 0)])","(50, -16, [(503, 0), (92, 0)])","(50, -48, [(944, 0), (658, 0), (933, 0)])","(0, 0, [])","(0, 0, [])","(40, -43, [(683, 0), (884, 0), (100, 0)])","(40, 60, [(795, 0), (778, 0), (143, 0)])","(50, 42, [(262, 0), (114, 0), (80, 0), (96, 0), (112, 0)])","(50, 68, [(1322, 0), (112, 0)])","(50, -8, [(906, 0), (770, 0), (150, 0), (135, 0)])","(40, -21, [(863, 0), (137, 0)])","(50, -33, [(687, 0), (1269, 0), (894, 0), (119, 0)])","(40, 54, [(938, 0), (100, 0), (108, 0), (125, 0)])","(40, -1, [(874, 3), (109, 0)])","(0, 0, [])","(0, 0, [])","(40, 28, [(937, 2), (137, 0), (122, 0)])","(30, 62, [(1031, 0)])","(50, -9, [(776, 1)])","(30, -32, [(1084, 0), (142, 0), (121, 0)])","(40, 67, [(1240, 1)])","(40, 28, [(974, 0)])","(50, -29, [(794, 1)])","(40, -14, [(534, 0), (86, 0)])","(50, -7, [(1033, 0), (132, 0), (87, 0)])","(50, -34, [(1459, 0), (105, 0), (93, 0), (105, 0)])","(0, 0, [])"
"Baptista, Belen",4136,"(50, -17, [(1402, 0), (143, 0), (113, 0), (146, 0), (107, 0)])","(50, -5, [(117, 0), (104, 0), (131, 0)])","(50, -28, [(1684, 0), (97, 0)])","(50, -4, [(1010, 0), (98, 0), (128, 0), (130, 0)])","(50, -8, [(1320, 0), (133, 0), (86, 0), (107, 0)])","(50, 69, [(1334, 0), (131, 0), (132, 0), (102, 0), (90, 0)])","(50, 44, [(1428, 0), (2002, 0), (108, 0), (122, 0), (100, 0)])","(50, -38, [(1291, 0), (136, 0), (131, 0)])","(50, -30, [(1284, 0), (115, 0)])","(40, -40, [(1628, 0), (104, 0), (129, 0), (112, 0)])","(50, 69, [(814, 0), (103, 0)])","(50, -8, [(1580, 0), (80, 0), (107, 0), (121, 0), (126, 0), (85, 0), (88, 0)])","(50, -2, [(1588, 0), (118, 0)])","(50, -24, [(1404, 0), (128, 0), (106, 0), (117, 0), (142, 0)])","(50, -18, [(1215, 0), (124, 0), (103, 0), (134, 0)])","(40, -7, [(1270, 2), (129, 0), (137, 0)])","(50, -29, [(1839, 2), (124, 0)])","(40, -47, [(1342, 1), (150, 0), (89, 0)])","(50, -23, [(714, 2), (89, 0), (138, 0), (148, 0), (129, 0)])","(50, -24, [(1378, 1), (138, 0)])","(50, -42, [(1350, 3), (123, 0)])","(50, -34, [(1408, 1), (144, 0), (138, 0), (81, 0)])","(50, 45, [(2398, 2)])","(50, -23, [(1393, 3), (128, 0)])","(50, -10, [(1465, 3), (113, 0), (144, 0), (135, 0), (96, 0), (139, 0)])","(50, 20, [(1364, 3), (124, 0), (127, 0)])","(50, -11, [(1251, 1), (87, 0), (127, 0)])","(50, -23, [(1602, 1), (113, 0)])","(40, -11, [(1679, 1), (96, 0), (133, 0)])","(50, -42, [(1766, 1), (106, 0)])"
"Beshears, Brittaney",1980,"(40, -2, [(1250, 0), (1019, 0), (1537, 0), (104, 0), (136, 0), (86, 0), (112, 0)])","(40, -18, [(516, 1), (148, 0)])","(40, -37, [(1254, 0), (104, 0), (120, 0), (149, 0), (91, 0)])","(40, -11, [(1484, 1), (147, 0), (139, 0)])","(40, 10, [(1530, 0), (96, 0), (145, 0), (85, 0)])","(30, -16, [(1488, 0), (141, 0), (139, 0)])","(40, 19, [(1670, 0), (1657, 0), (1642, 0), (112, 0), (117, 0), (90, 0)])","(50, -32, [(1263, 0), (707, 0), (116, 0), (144, 0)])","(30, -25, [(1363, 0), (116, 0), (137, 0), (92, 0), (118, 0), (114, 0)])","(30, -31, [(1254, 0), (127, 0), (132, 0), (114, 0), (114, 0), (81, 0)])","(50, -37, [(357, 2), (107, 0), (122, 0), (100, 0), (109, 0), (85, 0), (122, 0)])","(50, -37, [(1512, 3), (147, 0), (87, 0), (133, 0)])","(50, 45, [(1519, 0), (91, 0), (81, 0), (117, 0)])","(50, -23, [(1493, 0), (1205, 0), (1500, 0), (144, 0), (111, 0), (91, 0), (139, 0), (123, 0)])","(40, -45, [(1107, 0), (1905, 0), (1509, 0), (133, 0), (131, 0), (134, 0)])","(30, 12, [(1495, 3)])","(30, -5, [(1430, 1)])","(40, -29, [(1550, 1)])","(40, -20, [(566, 1), (118, 0), (95, 0)])","(50, -46, [(1569, 2), (116, 0), (128, 0)])","(50, -12, [(1574, 3), (105, 0), (89, 0), (93, 0), (97, 0), (105, 0), (97, 0)])","(40, -16, [(1350, 1), (115, 0), (116, 0), (137, 0), (89, 0)])","(40, -31, [(1764, 1)])","(50, -22, [(1580, 0), (123, 0)])","(40, -37, [(1598, 1), (122, 0)])","(50, 69, [(1648, 1), (109, 0), (132, 0), (99, 0)])","(50, -46, [(1408, 1), (142, 0)])","(30, 3, [(1614, 0), (139, 0)])","(40, 42, [(1521, 3), (149, 0), (130, 0)])","(40, -1, [(2032, 0)])"
"Bookout, Bella",7416,"(50, 55, [(2856, 0), (119, 0), (107, 0), (80, 0), (90, 0), (150, 0), (143, 0)])","(50, 63, [(1445, 0), (103, 0), (123, 0), (149, 0), (121, 0), (115, 0), (94, 0), (95, 0), (131, 0)])","(40, 57, [(3078, 1), (85, 0), (81, 0), (95, 0), (97, 0), (99, 0), (131, 0)])","(40, -11, [(3062, 1), (150, 0), (96, 0), (84, 0), (116, 0), (85, 0), (87, 0)])","(50, -42, [(3151, 0), (102, 0), (136, 0), (92, 0), (88, 0), (91, 0), (126, 0)])","(40, -42, [(3089, 2), (150, 0), (123, 0), (129, 0), (104, 0), (122, 0), (115, 0), (96, 0), (140, 0), (139, 0), (123, 0)])","(50, -21, [(2721, 1), (3554, 0), (150, 0), (148, 0)])","(50, 27, [(2914, 0), (91, 0), (82, 0), (135, 0), (122, 0), (143, 0)])","(0, 0, [])","(40, 7, [(2992, 1), (140, 0), (83, 0), (109, 0), (108, 0), (118, 0)])","(50, 53, [(684, 1), (137, 0), (109, 0), (94, 0), (99, 0)])","(50, -11, [(3252, 0), (105, 0), (146, 0), (140, 0), (98, 0), (141, 0)])","(50, -5, [(2693, 1), (146, 0), (88, 0), (120, 0), (129, 0), (110, 0), (107, 0), (127, 0), (129, 0)])","(50, -4, [(3389, 0), (146, 0), (112, 0), (128, 0), (150, 0), (84, 0)])","(0, 0, [])","(50, 52, [(2870, 1), (106, 0), (92, 0), (108, 0)])","(50, -9, [(2925, 1), (98, 0), (82, 0), (131, 0), (86, 0)])","(50, 48, [(3649, 0), (93, 0), (113, 0), (98, 0)])","(50, 22, [(1207, 0), (130, 0)])","(50, -27, [(2799, 3), (94, 0), (114, 0), (146, 0), (145, 0)])","(0, 0, [])","(50, -24, [(2673, 3), (117, 0), (113, 0)])","(50, 4, [(3604, 1), (118, 0), (133, 0)])","(50, 71, [(3385, 1)])","(0, 0, [])","(50, -37, [(3070, 2), (126, 0), (147, 0), (133, 0), (117, 0)])","(0, 0, [])","(50, -48, [(3040, 3), (80, 0), (129, 0)])","(50, 70, [(3132, 2), (112, 0), (84, 0), (132, 0), (84, 0), (147, 0)])","(40, -46, [(3657, 2), (111, 0), (115, 0), (140, 0)])"
"Canchola, Cassy",7201,"(50, 6, [(1416, 0), (118, 0), (95, 0), (89, 0)])","(50, -17, [(704, 0), (487, 0), (190, 0), (90, 0), (132, 0)])","(50, -24, [(1403, 0), (128, 0), (91, 0), (139, 0)])","(50, -46, [(1253, 0), (135, 0), (122, 0), (114, 0), (87, 0), (93, 0)])","(50, -5, [(1599, 0), (149, 0), (101, 0), (105, 0)])","(40, -3, [(1159, 0), (142, 0), (95, 0), (113, 0)])","(40, -41, [(1423, 0), (101, 0), (144, 0), (146, 0), (80, 0)])","(0, 0, [])","(50, -2, [(1534, 0), (92, 0), (139, 0), (108, 0)])","(50, 59, [(1702, 0), (104, 0), (89, 0), (130, 0), (140, 0), (129, 0)])","(50, -45, [(417, 2), (110, 0), (126, 0), (113, 0)])","(50, -43, [(1740, 0), (143, 0), (120, 0), (92, 0), (112, 0)])","(50, -48, [(1381, 0), (143, 0), (145, 0), (101, 0), (144, 0), (130, 0)])","(40, -8, [(1141, 0), (141, 0), (100, 0)])","(50, -32, [(1404, 2), (83, 0), (105, 0), (86, 0), (99, 0), (149, 0), (121, 0)])","(50, 42, [(1432, 1), (86, 0), (146, 0), (90, 0)])","(50, -10, [(1723, 2), (144, 0), (138, 0)])","(50, -13, [(1960, 1), (86, 0), (105, 0), (125, 0)])","(50, -18, [(559, 1)])","(50, -39, [(1350, 2), (84, 0), (106, 0), (90, 0)])","(0, 0, [])","(50, 57, [(1250, 1), (100, 0)])","(50, -10, [(1739, 1), (147, 0)])","(50, -45, [(1764, 1), (109, 0)])","(40, -3, [(1680, 1), (125, 0), (89, 0)])","(50, -22, [(1227, 1), (123, 0)])","(50, -13, [(1789, 1), (133, 0), (101, 0)])","(50, -45, [(1600, 1), (132, 0), (129, 0)])","(40, -32, [(1535, 3), (109, 0)])","(50, -37, [(1914, 1), (95, 0), (95, 0), (133, 0)])"
"Ciulla, Chandra",1914,"(40, 9, [(725, 0), (787, 0), (726, 0), (91, 0), (138, 0), (90, 0), (117, 0), (110, 0)])","(40, -19, [(58, 0), (92, 0)])","(40, 6, [(937, 0), (56, 0), (130, 0)])","(50, -38, [(651, 0)])","(40, 39, [(1070, 0), (103, 0)])","(40, -4, [(650, 0), (710, 0), (789, 0), (142, 0), (81, 0)])","(40, 38, [(1102, 1)])","(40, -17, [(533, 0), (426, 0), (98, 0)])","(50, 5, [(1015, 0), (105, 0)])","(50, 34, [(860, 0), (105, 0), (124, 0)])","(40, 45, [(162, 0), (98, 0), (148, 0)])","(30, 19, [(768, 0), (99, 0)])","(40, 33, [(508, 0), (109, 0)])","(50, -25, [(878, 0), (923, 0), (569, 0), (141, 0)])","(40, -8, [(972, 0), (1115, 0), (91, 0)])","(50, 22, [(681, 1), (129, 0)])","(50, 71, [(745, 0)])","(40, 12, [(964, 1), (102, 0)])","(50, 65, [(453, 1), (111, 0), (143, 0), (112, 0)])","(40, 43, [(748, 1), (88, 0), (120, 0), (130, 0), (105, 0)])","(40, 55, [(905, 1), (125, 0)])","(40, 72, [(233, 3)])","(50, 33, [(1096, 0), (113, 0)])","(40, -34, [(870, 1), (83, 0)])","(40, 7, [(792, 0)])","(30, 28, [(1057, 2)])","(50, 44, [(535, 3)])","(30, -8, [(677, 0)])","(40, 67, [(995, 1)])","(50, 27, [(1195, 1)])"
"Claussen, Cindie",3523,"(50, -30, [(635, 0), (87, 0)])","(40, -39, [(407, 0), (447, 0), (101, 0), (100, 0)])","(50, -11, [(967, 0), (207, 0), (112, 0)])","(40, -45, [(731, 0), (125, 0), (85, 0)])","(50, -12, [(678, 0)])","(50, -10, [(557, 0), (107, 0)])","(30, -27, [(1085, 0), (97, 0)])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(40, -22, [(129, 0), (94, 0)])","(40, -28, [(925, 3), (150, 0)])","(40, -14, [(898, 0), (84, 0), (146, 0), (111, 0)])","(30, -3, [(736, 0), (110, 0)])","(40, -19, [(745, 0), (1361, 0), (775, 0), (136, 0)])","(50, -16, [(907, 0), (108, 0)])","(40, -8, [(684, 1), (106, 0), (141, 0)])","(50, -11, [(1197, 1), (138, 0), (111, 0)])","(0, 0, [])","(40, -39, [(728, 1), (97, 0), (87, 0)])","(40, -34, [(541, 3)])","(40, -18, [(547, 2)])","(40, -3, [(1057, 2)])","(50, -37, [(991, 0)])","(0, 0, [])","(40, -40, [(678, 1), (88, 0)])","(0, 0, [])","(0, 0, [])","(50, -43, [(1080, 1), (125, 0), (120, 0), (91, 0), (133, 0)])","(50, -1, [(1077, 1), (140, 0)])"
"Coppage, Carma",6027,"(40, -26, [(725, 0), (958, 0), (146, 0), (123, 0)])","(40, -30, [(397, 0), (88, 0)])","(0, 0, [])","(50, -29, [(1111, 1), (689, 0), (93, 0)])","(40, -1, [(798, 0)])","(40, -33, [(850, 1), (148, 0), (95, 0), (113, 0)])","(30, -18, [(537, 0), (125, 0)])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(40, -34, [(334, 0), (118, 0)])","(50, -4, [(735, 0)])","(30, -44, [(1165, 1), (111, 0), (121, 0), (148, 0), (144, 0)])","(0, 0, [])","(30, -28, [(899, 1), (84, 0), (115, 0)])","(40, -24, [(979, 3)])","(50, -11, [(1190, 1), (134, 0)])","(40, -12, [(956, 3)])","(40, -29, [(26, 1)])","(0, 0, [])","(30, -26, [(895, 1)])","(50, -19, [(741, 1)])","(0, 0, [])","(50, -14, [(1019, 3), (137, 0)])","(50, -43, [(1047, 3)])","(0, 0, [])","(30, -19, [(798, 1), (131, 0), (123, 0)])","(40, -5, [(894, 3)])","(40, -33, [(774, 1)])","(40, -30, [(1221, 1), (132, 0), (146, 0)])"
"Culberson, Christeen",3520,"(50, -15, [(971, 0), (115, 0), (104, 0)])","(30, 41, [(373, 0), (123, 0)])","(40, 12, [(678, 0), (147, 0)])","(0, 0, [])","(50, -42, [(598, 0), (102, 0)])","(50, -47, [(1034, 1), (140, 0)])","(50, -6, [(964, 0), (1185, 0), (128, 0), (98, 0), (117, 0)])","(0, 0, [])","(40, 36, [(940, 0)])","(0, 0, [])","(50, -8, [(380, 0), (96, 0)])","(40, 45, [(1040, 1), (147, 0), (136, 0)])","(40, -1, [(665, 1), (147, 0), (88, 0), (131, 0), (88, 0)])","(0, 0, [])","(0, 0, [])","(50, -29, [(846, 2), (120, 0)])","(50, 62, [(1184, 1), (136, 0), (90, 0), (132, 0)])","(40, -11, [(988, 1), (131, 0), (87, 0), (143, 0)])","(40, -13, [(356, 1)])","(50, -7, [(891, 2), (89, 0), (130, 0)])","(0, 0, [])","(50, 25, [(806, 1)])","(50, 65, [(1309, 1), (83, 0), (113, 0), (122, 0)])","(0, 0, [])","(40, 48, [(941, 3)])","(40, -42, [(786, 1), (114, 0)])","(0, 0, [])","(40, -14, [(1022, 1), (96, 0), (87, 0)])","(0, 0, [])","(30, -33, [(1106, 3)])"
"Cusic, Chasity",6144,"(50, -22, [(1789, 0), (148, 0), (133, 0), (141, 0), (141, 0)])","(50, -36, [(765, 0), (84, 0)])","(50, -32, [(1517, 0), (99, 0), (92, 0), (123, 0)])","(50, -3, [(1557, 0), (1468, 0), (2275, 0), (116, 0), (136, 0), (137, 0)])","(50, -32, [(1644, 0), (99, 0), (136, 0), (95, 0), (99, 0)])","(50, -44, [(1580, 0), (1571, 0), (125, 0), (93, 0), (92, 0)])","(40, -45, [(2209, 0), (93, 0), (108, 0), (137, 0)])","(50, -35, [(1317, 0), (131, 0), (147, 0)])","(50, -33, [(1796, 0), (86, 0), (101, 0), (82, 0)])","(50, -15, [(1489, 0), (1638, 0), (112, 0), (123, 0), (111, 0)])","(50, -40, [(351, 0), (90, 0), (131, 0)])","(50, -9, [(1530, 0), (1640, 0), (114, 0), (141, 0), (133, 0)])","(50, -8, [(1746, 0), (137, 0), (89, 0)])","(50, -12, [(1795, 0), (89, 0), (128, 0)])","(50, -14, [(1509, 0), (89, 0), (117, 0), (85, 0), (82, 0)])","(50, -47, [(1782, 1), (91, 0), (139, 0)])","(50, -47, [(1711, 3), (140, 0), (130, 0)])","(40, -14, [(1990, 1), (100, 0), (90, 0), (94, 0)])","(50, -26, [(633, 1), (99, 0), (148, 0), (113, 0), (126, 0), (104, 0)])","(50, -42, [(1399, 1), (82, 0), (119, 0)])","(40, 7, [(1664, 1), (135, 0)])","(50, -42, [(1932, 2), (129, 0), (143, 0), (114, 0), (131, 0), (111, 0)])","(40, -3, [(2578, 1)])","(40, -34, [(1674, 1), (139, 0), (113, 0)])","(50, -33, [(2234, 3)])","(50, -23, [(1368, 0), (148, 0)])","(50, 48, [(1388, 0), (113, 0), (123, 0)])","(50, -39, [(2106, 1), (131, 0)])","(50, -12, [(1860, 1), (80, 0)])","(50, -1, [(2377, 1), (149, 0), (85, 0)])"
"Dabney, Demetra",1867,"(0, 0, [])","(50, -16, [(70, 0), (120, 0)])","(50, -44, [(984, 0), (505, 0), (131, 0)])","(30, 32, [(622, 0), (1230, 0), (1039, 0), (82, 0), (103, 0)])","(40, 51, [(894, 0), (147, 0)])","(30, 59, [(779, 0), (612, 0), (111, 0), (121, 0)])","(40, 32, [(911, 0), (727, 0), (139, 0)])","(50, 30, [(590, 0), (90, 0), (150, 0), (88, 0), (121, 0)])","(40, 25, [(845, 1), (135, 0), (99, 0)])","(40, 14, [(990, 0), (93, 0), (119, 0), (107, 0)])","(40, -7, [(122, 2), (129, 0), (137, 0)])","(0, 0, [])","(0, 0, [])","(40, 11, [(1209, 0), (101, 0)])","(0, 0, [])","(40, 45, [(388, 0), (136, 0), (86, 0)])","(0, 0, [])","(50, 27, [(1042, 0), (100, 0)])","(50, -34, [(89, 0), (112, 0)])","(40, 54, [(1128, 0)])","(50, 42, [(1089, 1), (129, 0), (127, 0)])","(0, 0, [])","(0, 0, [])","(40, -14, [(1084, 0), (101, 0)])","(50, 48, [(966, 2), (86, 0), (98, 0), (127, 0)])","(40, -6, [(1015, 3), (126, 0), (127, 0), (86, 0), (120, 0)])","(40, -33, [(871, 0), (115, 0), (101, 0)])","(0, 0, [])","(40, 60, [(649, 0)])","(40, 41, [(994, 2)])"
"Dore, Dalila",4297,"(50, -45, [(1363, 0), (122, 0), (80, 0), (127, 0)])","(50, -24, [(387, 0)])","(50, -23, [(966, 0), (98, 0), (136, 0), (93, 0)])","(50, -35, [(1026, 0), (1864, 0), (1715, 0), (80, 0), (132, 0), (87, 0), (91, 0)])","(50, -44, [(1509, 0), (101, 0), (124, 0), (81, 0), (116, 0), (119, 0)])","(50, -27, [(990, 0), (140, 0), (118, 0), (90, 0)])","(50, -22, [(1807, 0), (143, 0), (114, 0), (143, 0)])","(50, -27, [(1482, 0), (133, 0), (143, 0)])","(50, -24, [(1310, 0), (88, 0), (105, 0), (104, 0)])","(40, -20, [(1102, 0), (150, 0), (100, 0), (111, 0), (124, 0), (130, 0), (120, 0), (94, 0), (111, 0)])","(50, -48, [(292, 0), (149, 0)])","(50, -11, [(1274, 0), (92, 0), (115, 0), (89, 0), (139, 0)])","(50, -16, [(1460, 0), (1346, 0), (143, 0)])","(50, -19, [(1515, 0), (133, 0), (141, 0), (96, 0)])","(50, -13, [(1107, 1), (1846, 0), (1496, 0), (118, 0), (141, 0), (85, 0), (114, 0), (136, 0), (126, 0), (138, 0), (107, 0)])","(50, -21, [(1723, 1), (92, 0), (121, 0), (94, 0), (109, 0), (133, 0), (135, 0)])","(50, -41, [(1397, 0), (113, 0), (144, 0)])","(40, -42, [(1753, 3), (148, 0)])","(50, -43, [(389, 0), (100, 0), (96, 0)])","(50, -23, [(1618, 2), (82, 0), (110, 0), (109, 0)])","(50, -17, [(1086, 1), (95, 0)])","(40, -5, [(1454, 3), (121, 0)])","(50, -14, [(1671, 1), (141, 0), (141, 0), (85, 0)])","(50, -19, [(1162, 0)])","(50, -30, [(1483, 2), (148, 0)])","(50, -33, [(1704, 1), (94, 0)])","(50, -7, [(1398, 1), (88, 0), (148, 0), (150, 0)])","(50, -13, [(1386, 1), (126, 0), (111, 0), (134, 0), (114, 0), (88, 0)])","(50, -9, [(2067, 0), (141, 0)])","(50, -27, [(2021, 1), (114, 0)])"
"Dugger, Donette",2485,"(40, -25, [(1124, 0), (801, 0), (1095, 0), (113, 0), (126, 0), (149, 0), (149, 0), (135, 0), (135, 0), (106, 0)])","(30, 3, [(745, 0), (117, 0), (136, 0)])","(50, -28, [(1324, 0), (510, 0), (85, 0), (85, 0)])","(50, -24, [(1136, 0), (134, 0), (112, 0), (113, 0), (127, 0), (98, 0), (125, 0), (143, 0)])","(40, 39, [(1345, 0)])","(50, -10, [(1323, 0), (1111, 0), (1103, 0), (110, 0), (95, 0), (99, 0)])","(40, -13, [(1207, 0), (1408, 0), (847, 0), (101, 0), (84, 0)])","(50, -40, [(1544, 0), (220, 0), (126, 0)])","(40, -3, [(1023, 0)])","(40, -32, [(1563, 3), (1437, 0), (146, 0), (83, 0)])","(40, -15, [(58, 0), (121, 0), (126, 0)])","(30, -19, [(1197, 0), (1096, 0), (84, 0)])","(40, -26, [(939, 0), (1296, 0)])","(50, -34, [(748, 2), (993, 0), (1465, 0), (107, 0), (119, 0), (107, 0)])","(40, -48, [(1172, 0), (1017, 0), (963, 0), (86, 0), (124, 0), (137, 0)])","(40, 16, [(1046, 0), (122, 0), (148, 0), (130, 0)])","(50, -28, [(1109, 0), (135, 0), (133, 0)])","(40, -43, [(1034, 1)])","(40, -27, [(306, 0)])","(30, -37, [(1578, 0), (100, 0)])","(30, -11, [(1278, 0), (145, 0), (108, 0)])","(40, 21, [(856, 0), (114, 0)])","(40, -8, [(1050, 0)])","(40, -39, [(1117, 1)])","(50, -26, [(1280, 0), (149, 0), (131, 0)])","(40, -7, [(1333, 1), (145, 0), (147, 0)])","(30, -10, [(861, 1)])","(50, -27, [(1288, 3), (82, 0), (118, 0)])","(40, -1, [(1486, 0), (102, 0), (86, 0)])","(40, 66, [(1355, 0), (109, 0), (104, 0), (122, 0)])"
"Easler, Emile",2357,"(0, 0, [])","(50, -27, [(1200, 0), (90, 0), (119, 0), (103, 0), (111, 0), (91, 0), (123, 0), (149, 0)])","(0, 0, [])","(50, 3, [(3003, 0), (2739, 0), (109, 0), (85, 0), (122, 0), (113, 0), (81, 0), (98, 0), (148, 0)])","(40, 64, [(2981, 1), (125, 0), (125, 0), (149, 0), (97, 0), (90, 0), (81, 0), (112, 0)])","(0, 0, [])","(0, 0, [])","(50, -8, [(2387, 0), (1215, 0), (98, 0), (147, 0), (87, 0), (84, 0), (94, 0), (115, 0)])","(0, 0, [])","(50, 44, [(2603, 0), (83, 0), (137, 0), (147, 0), (129, 0)])","(40, 15, [(1229, 0), (147, 0), (96, 0), (82, 0), (91, 0), (83, 0), (90, 0), (88, 0)])","(30, -10, [(2902, 0), (90, 0), (105, 0), (93, 0), (134, 0), (117, 0), (149, 0), (131, 0)])","(50, -38, [(2911, 0), (84, 0), (109, 0), (147, 0)])","(0, 0, [])","(40, 43, [(2971, 0), (3074, 0), (3488, 0), (146, 0), (114, 0), (145, 0)])","(0, 0, [])","(40, -29, [(3029, 0), (132, 0), (147, 0), (84, 0), (149, 0)])","(40, 2, [(3270, 1), (124, 0), (91, 0)])","(50, -32, [(1203, 0), (148, 0)])","(0, 0, [])","(50, 40, [(2899, 0), (136, 0), (147, 0)])","(30, 40, [(2527, 0), (82, 0), (107, 0)])","(0, 0, [])","(0, 0, [])","(50, -6, [(3212, 1), (123, 0)])","(50, -3, [(2941, 1), (142, 0), (96, 0), (84, 0)])","(50, -32, [(2803, 1), (109, 0), (112, 0)])","(50, -4, [(3268, 1), (125, 0), (80, 0)])","(0, 0, [])","(30, 38, [(3609, 1), (134, 0), (104, 0), (92, 0)])"
"Ebright, Ericka",7346,"(50, 21, [(431, 0), (936, 0), (802, 0), (112, 0)])","(0, 0, [])","(40, 26, [(779, 0)])","(0, 0, [])","(0, 0, [])","(50, 59, [(445, 0), (97, 0), (109, 0)])","(50, -35, [(743, 0), (112, 0), (92, 0), (90, 0), (90, 0)])","(50, -30, [(556, 0), (318, 0)])","(50, 72, [(650, 0), (120, 0), (127, 0)])","(0, 0, [])","(50, -26, [(348, 0), (95, 0)])","(50, 33, [(731, 0)])","(50, 57, [(741, 0), (82, 0), (91, 0)])","(0, 0, [])","(50, -45, [(580, 0), (121, 0), (99, 0), (114, 0)])","(50, 49, [(369, 0), (132, 0)])","(50, -5, [(839, 1), (93, 0)])","(50, -34, [(1093, 1), (138, 0)])","(50, -21, [(544, 1), (88, 0), (133, 0), (146, 0), (148, 0)])","(50, 9, [(954, 0), (111, 0), (149, 0), (87, 0)])","(50, -30, [(685, 1), (128, 0), (91, 0)])","(50, -11, [(571, 0), (102, 0)])","(50, -9, [(952, 1)])","(50, -11, [(677, 1)])","(50, 65, [(814, 2)])","(50, -4, [(653, 3)])","(50, 65, [(529, 2)])","(50, -41, [(749, 1), (89, 0), (133, 0)])","(50, 55, [(719, 0)])","(0, 0, [])"
"Erhart, Ella",4976,"(40, 50, [(3054, 0), (2689, 0), (110, 0), (99, 0), (127, 0), (108, 0), (89, 0), (101, 0), (142, 0), (97, 0)])","(30, -5, [(1233, 0), (863, 0), (96, 0), (141, 0), (129, 0), (108, 0), (114, 0), (102, 0)])","(40, 43, [(2668, 0), (124, 0), (112, 0), (100, 0), (80, 0), (117, 0), (137, 0)])","(40, -8, [(3058, 0), (99, 0), (121, 0), (104, 0), (91, 0), (126, 0), (108, 0)])","(30, 42, [(2913, 0), (111, 0), (101, 0), (111, 0), (122, 0), (142, 0), (94, 0), (120, 0), (138, 0), (136, 0), (82, 0)])","(30, 29, [(2905, 0), (99, 0), (135, 0), (94, 0), (95, 0), (146, 0), (104, 0)])","(40, -45, [(2889, 0), (3615, 0), (143, 0), (81, 0), (126, 0), (93, 0), (85, 0), (124, 0)])","(30, 54, [(2773, 0), (112, 0), (103, 0), (147, 0)])","(40, -10, [(2959, 0), (145, 0), (144, 0), (125, 0)])","(40, 40, [(2556, 0), (122, 0), (104, 0), (149, 0), (149, 0), (127, 0), (118, 0), (92, 0), (145, 0)])","(50, 30, [(1130, 1), (128, 0), (115, 0), (88, 0)])","(50, -20, [(3146, 0), (137, 0), (125, 0), (121, 0), (143, 0)])","(50, -40, [(2921, 3), (98, 0), (145, 0), (82, 0), (134, 0), (82, 0), (81, 0)])","(40, -26, [(2729, 3), (82, 0), (102, 0), (94, 0), (132, 0), (109, 0), (90, 0)])","(50, -3, [(3175, 0), (146, 0), (105, 0), (134, 0), (111, 0), (100, 0), (105, 0)])","(30, 18, [(2930, 1), (120, 0), (96, 0), (101, 0), (149, 0)])","(50, 70, [(2963, 3), (121, 0), (148, 0), (89, 0)])","(40, -42, [(3453, 3), (113, 0), (102, 0), (136, 0), (129, 0), (127, 0), (130, 0)])","(40, 29, [(577, 1), (94, 0)])","(40, -10, [(2760, 1), (150, 0), (80, 0), (88, 0), (125, 0)])","(50, -37, [(2678, 3), (141, 0), (115, 0)])","(30, 26, [(2568, 1), (143, 0)])","(30, -47, [(3511, 1), (100, 0), (109, 0)])","(40, -42, [(3377, 1), (80, 0), (108, 0)])","(40, 7, [(3327, 2), (85, 0), (141, 0)])","(40, 7, [(2772, 1), (132, 0)])","(50, 43, [(2773, 1), (150, 0), (124, 0)])","(30, -32, [(3258, 1), (117, 0)])","(40, -28, [(3292, 2), (86, 0), (110, 0)])","(40, 8, [(3297, 1), (110, 0), (147, 0), (144, 0)])"
